scenario,system,failure_inject_phi,partition,n_trials,stale_rate,stale_ci_lo,stale_ci_hi,availability,avail_ci_lo,avail_ci_hi,failure_rate,percentile_basis,messages_mean,mlat_p50,mlat_p99,i_occupancy,neutro_bool_disagree,status
S1,neutro-aczel_alsina-g,0.3,none,250,0.174660908,0.171860201,0.17740353879999995,0.993773324,0.9932133117999999,0.9943466681000002,0.006226676,all,5.0,2.6306844000000003,6.325296000000001,0.45441866000000003,0.662826636,validated
S1,neutro-aczel_alsina-g,0.3,transient,250,0.20699959999999998,0.2039968748,0.2100983497,0.973040004,0.9718666837000001,0.9742003644,0.026959995999999996,all,5.0,2.45053,6.1568704,0.454306656,0.6420666759999999,validated
S1,neutro-bonferroni-g,0.0,none,250,0.124186672,0.1216396671,0.12675999640000002,1.0,1.0,1.0,0.0,all,5.0,2.9271424,6.6260988,0.45459733599999996,0.58017332,validated
S1,neutro-bonferroni-g,0.0,transient,250,0.155978788,0.1534341812,0.1585575048,0.999626704,0.9994933840000001,0.9997470253000003,0.000373296,all,5.0,2.7351084,6.3655536,0.45585065199999997,0.5755600000000001,validated
S1,neutro-bonferroni-g,0.1,none,250,0.13665303599999998,0.1342758359,0.1390470745,0.9998933440000001,0.9998133520000001,0.9999600040000001,0.000106656,all,5.0,2.8449768000000004,6.5880064,0.454722676,0.6389733160000001,validated
S1,neutro-bonferroni-g,0.1,transient,250,0.17085314399999998,0.1680145547,0.1737014202,0.997200072,0.996800076,0.9975867241,0.0027999280000000006,all,5.0,2.6451567999999996,6.271206,0.45523466,0.62748,validated
S1,neutro-bonferroni-g,0.2,none,250,0.15531754,0.15286656910000002,0.1576859184,0.998640064,0.998373388,0.9989067081,0.001359936,all,5.0,2.7433471999999997,6.481273600000001,0.45462402400000007,0.6576533159999999,validated
S1,neutro-bonferroni-g,0.2,transient,250,0.18933488399999998,0.18657340509999998,0.19203684859999998,0.9880400200000001,0.9872666918999999,0.9888266960999998,0.011959980000000002,all,5.0,2.5540240000000005,6.2450416,0.45485865999999997,0.648680028,validated
S1,neutro-bonferroni-g,0.3,none,250,0.174660908,0.1718691261,0.1774370318,0.993773324,0.9931866679000002,0.9943333241000001,0.006226676,all,5.0,2.6306844000000003,6.325296000000001,0.45441866000000003,0.662826636,validated
S1,neutro-bonferroni-g,0.3,transient,250,0.20699959999999998,0.2041246592,0.2100007255,0.973040004,0.9718933279,0.9741733320000001,0.026959995999999996,all,5.0,2.45053,6.1568704,0.454306656,0.6420666759999999,validated
S1,neutro-dombi-g,0.0,none,250,0.124186672,0.1217066797,0.126573715,1.0,1.0,1.0,0.0,all,5.0,2.9271424,6.6260988,0.45459733599999996,0.58017332,validated
S1,neutro-dombi-g,0.0,transient,250,0.155978788,0.1534158791,0.1586355567,0.999626704,0.9994933840000001,0.9997466920000001,0.000373296,all,5.0,2.7351084,6.3655536,0.45585065199999997,0.5755600000000001,validated
S1,neutro-dombi-g,0.1,none,250,0.13665303599999998,0.1342991165,0.13897607449999996,0.9998933440000001,0.9998133520000001,0.9999600040000001,0.000106656,all,5.0,2.8449768000000004,6.5880064,0.454722676,0.6389733160000001,validated
S1,neutro-dombi-g,0.1,transient,250,0.17085314399999998,0.16808136829999998,0.17359749589999998,0.997200072,0.996786728,0.9975867399999999,0.0027999280000000006,all,5.0,2.6451567999999996,6.271206,0.45523466,0.62748,validated
S1,neutro-dombi-g,0.2,none,250,0.15531754,0.15293575610000001,0.1578274924,0.998640064,0.9983733960000001,0.998906724,0.001359936,all,5.0,2.7433471999999997,6.481273600000001,0.45462402400000007,0.6576533159999999,validated
S1,neutro-dombi-g,0.2,transient,250,0.18933488399999998,0.18656246940000001,0.192152244,0.9880400200000001,0.9872530082,0.988840012,0.011959980000000002,all,5.0,2.5540240000000005,6.2450416,0.45485865999999997,0.648680028,validated
S1,neutro-dombi-g,0.3,none,250,0.174660908,0.1718361366,0.177419878,0.993773324,0.9931996362999999,0.9943199920000001,0.006226676,all,5.0,2.6306844000000003,6.325296000000001,0.45441866000000003,0.662826636,validated
S1,neutro-dombi-g,0.3,transient,250,0.20699959999999998,0.2039593515,0.21010428839999998,0.973040004,0.9718800076999998,0.9741736920999999,0.026959995999999996,all,5.0,2.45053,6.1568704,0.454306656,0.6420666759999999,validated
S1,neutro-einstein-g,0.0,none,250,0.124186672,0.12173335190000001,0.1266003487,1.0,1.0,1.0,0.0,all,5.0,2.9271424,6.6260988,0.45459733599999996,0.58017332,validated
S1,neutro-einstein-g,0.0,transient,250,0.155978788,0.15345208300000002,0.1584744402,0.999626704,0.999493384,0.9997466920000002,0.000373296,all,5.0,2.7351084,6.3655536,0.45585065199999997,0.5755600000000001,validated
S1,neutro-einstein-g,0.1,none,250,0.13665303599999998,0.1342985687,0.1390588765,0.9998933440000001,0.9998133520000001,0.9999600040000001,0.000106656,all,5.0,2.8449768000000004,6.5880064,0.454722676,0.6389733160000001,validated
S1,neutro-einstein-g,0.1,transient,250,0.17085314399999998,0.16799282499999998,0.17364494249999998,0.997200072,0.9968133920000001,0.9975867281,0.0027999280000000006,all,5.0,2.6451567999999996,6.271206,0.45523466,0.62748,validated
S1,neutro-einstein-g,0.2,none,250,0.15531754,0.1528305465,0.1577897426,0.998640064,0.9983600680000001,0.998893388,0.001359936,all,5.0,2.7433471999999997,6.481273600000001,0.45462402400000007,0.6576533159999999,validated
S1,neutro-einstein-g,0.2,transient,250,0.18933488399999998,0.1865425663,0.1921226785,0.9880400200000001,0.9872266956999999,0.9888133603000001,0.011959980000000002,all,5.0,2.5540240000000005,6.2450416,0.45485865999999997,0.648680028,validated
S1,neutro-einstein-g,0.3,none,250,0.174660908,0.17190217730000004,0.1774303792,0.993773324,0.9932133160000001,0.9943333360000001,0.006226676,all,5.0,2.6306844000000003,6.325296000000001,0.45441866000000003,0.662826636,validated
